-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2012 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS50M_RANGE
32.0,35.625,2012,1,8,5.01
32.5,34.375,2012,1,8,4.07
32.5,35.0,2012,1,8,4.7
32.5,35.625,2012,1,8,4.04
33.0,34.375,2012,1,8,4.33
33.0,35.0,2012,1,8,4.48
33.0,35.625,2012,1,8,4.51
29.5,34.375,2012,1,9,5.89
29.5,35.0,2012,1,9,2.51
29.5,35.625,2012,1,9,3.95
30.0,34.375,2012,1,9,5.3
30.0,35.0,2012,1,9,3.6
30.0,35.625,2012,1,9,4.54
30.5,34.375,2012,1,9,6.47
30.5,35.0,2012,1,9,5.84
30.5,35.625,2012,1,9,5.32
31.0,34.375,2012,1,9,8.52
31.0,35.0,2012,1,9,5.9
31.0,35.625,2012,1,9,6.07
31.5,34.375,2012,1,9,6.49
31.5,35.0,2012,1,9,5.87
31.5,35.625,2012,1,9,5.99
32.0,34.375,2012,1,9,7.63
32.0,35.0,2012,1,9,4.93
32.0,35.625,2012,1,9,5.22
32.5,34.375,2012,1,9,7.9
32.5,35.0,2012,1,9,4.47
32.5,35.625,2012,1,9,3.09
33.0,34.375,2012,1,9,7.78
33.0,35.0,2012,1,9,4.77
33.0,35.625,2012,1,9,2.69
29.5,34.375,2012,1,10,6.72
29.5,35.0,2012,1,10,5.03
29.5,35.625,2012,1,10,6.42
30.0,34.375,2012,1,10,5.56
30.0,35.0,2012,1,10,5.2
30.0,35.625,2012,1,10,5.86
30.5,34.375,2012,1,10,4.9
30.5,35.0,2012,1,10,4.83
30.5,35.625,2012,1,10,8.55
31.0,34.375,2012,1,10,5.97
31.0,35.0,2012,1,10,5.73
31.0,35.625,2012,1,10,9.33
31.5,34.375,2012,1,10,4.77
31.5,35.0,2012,1,10,4.67
31.5,35.625,2012,1,10,6.33
32.0,34.375,2012,1,10,4.57
32.0,35.0,2012,1,10,4.61
32.0,35.625,2012,1,10,5.13
32.5,34.375,2012,1,10,4.14
32.5,35.0,2012,1,10,3.92
32.5,35.625,2012,1,10,2.62
33.0,34.375,2012,1,10,3.98
33.0,35.0,2012,1,10,5.13
33.0,35.625,2012,1,10,2.61
29.5,34.375,2012,1,11,1.77
29.5,35.0,2012,1,11,3.57
29.5,35.625,2012,1,11,3.94
30.0,34.375,2012,1,11,2.64
30.0,35.0,2012,1,11,4.42
30.0,35.625,2012,1,11,4.57
30.5,34.375,2012,1,11,3.88
30.5,35.0,2012,1,11,4.57
30.5,35.625,2012,1,11,5.98
31.0,34.375,2012,1,11,4.41
31.0,35.0,2012,1,11,4.88
31.0,35.625,2012,1,11,4.85
31.5,34.375,2012,1,11,3.36
31.5,35.0,2012,1,11,4.64
31.5,35.625,2012,1,11,5.61
32.0,34.375,2012,1,11,4.54
32.0,35.0,2012,1,11,4.66
32.0,35.625,2012,1,11,6.39
32.5,34.375,2012,1,11,6.35
32.5,35.0,2012,1,11,5.93
32.5,35.625,2012,1,11,5.09
33.0,34.375,2012,1,11,7.72
33.0,35.0,2012,1,11,6.61
33.0,35.625,2012,1,11,4.28
29.5,34.375,2012,1,12,4.28
29.5,35.0,2012,1,12,4.4
29.5,35.625,2012,1,12,4.73
30.0,34.375,2012,1,12,2.5
30.0,35.0,2012,1,12,1.87
30.0,35.625,2012,1,12,2.6
30.5,34.375,2012,1,12,2.92
30.5,35.0,2012,1,12,2.52
30.5,35.625,2012,1,12,2.85
31.0,34.375,2012,1,12,4.01
31.0,35.0,2012,1,12,2.99
31.0,35.625,2012,1,12,4.06
31.5,34.375,2012,1,12,3.58
31.5,35.0,2012,1,12,3.15
31.5,35.625,2012,1,12,4.35
32.0,34.375,2012,1,12,3.54
32.0,35.0,2012,1,12,2.19
32.0,35.625,2012,1,12,3.86
32.5,34.375,2012,1,12,4.03
32.5,35.0,2012,1,12,2.42
32.5,35.625,2012,1,12,2.46
33.0,34.375,2012,1,12,4.67
33.0,35.0,2012,1,12,3.11
33.0,35.625,2012,1,12,2.31
29.5,34.375,2012,1,13,3.48
29.5,35.0,2012,1,13,2.91
29.5,35.625,2012,1,13,4.28
30.0,34.375,2012,1,13,4.21
30.0,35.0,2012,1,13,3.7
30.0,35.625,2012,1,13,4.82
30.5,34.375,2012,1,13,4.6
30.5,35.0,2012,1,13,4.0
30.5,35.625,2012,1,13,5.28
31.0,34.375,2012,1,13,4.18
31.0,35.0,2012,1,13,3.51
31.0,35.625,2012,1,13,4.14
31.5,34.375,2012,1,13,3.25
31.5,35.0,2012,1,13,2.47
31.5,35.625,2012,1,13,4.53
32.0,34.375,2012,1,13,4.23
32.0,35.0,2012,1,13,2.27
32.0,35.625,2012,1,13,4.8
32.5,34.375,2012,1,13,4.72
32.5,35.0,2012,1,13,2.48
32.5,35.625,2012,1,13,2.16
33.0,34.375,2012,1,13,5.59
33.0,35.0,2012,1,13,4.27
33.0,35.625,2012,1,13,2.66
29.5,34.375,2012,1,14,4.9
29.5,35.0,2012,1,14,3.44
29.5,35.625,2012,1,14,7.29
30.0,34.375,2012,1,14,4.75
30.0,35.0,2012,1,14,3.23
30.0,35.625,2012,1,14,5.65
30.5,34.375,2012,1,14,5.0
30.5,35.0,2012,1,14,6.07
30.5,35.625,2012,1,14,6.42
31.0,34.375,2012,1,14,4.27
31.0,35.0,2012,1,14,5.87
31.0,35.625,2012,1,14,5.17
31.5,34.375,2012,1,14,2.66
31.5,35.0,2012,1,14,3.86
31.5,35.625,2012,1,14,3.95
32.0,34.375,2012,1,14,1.82
32.0,35.0,2012,1,14,1.74
32.0,35.625,2012,1,14,2.56
32.5,34.375,2012,1,14,2.09
32.5,35.0,2012,1,14,1.08
32.5,35.625,2012,1,14,1.92
33.0,34.375,2012,1,14,3.66
33.0,35.0,2012,1,14,2.65
33.0,35.625,2012,1,14,3.09
29.5,34.375,2012,1,15,6.3
29.5,35.0,2012,1,15,3.95
29.5,35.625,2012,1,15,3.72
30.0,34.375,2012,1,15,4.63
30.0,35.0,2012,1,15,3.97
30.0,35.625,2012,1,15,4.82
30.5,34.375,2012,1,15,3.0
30.5,35.0,2012,1,15,4.24
30.5,35.625,2012,1,15,5.12
31.0,34.375,2012,1,15,4.69
31.0,35.0,2012,1,15,4.24
31.0,35.625,2012,1,15,4.7
31.5,34.375,2012,1,15,3.95
31.5,35.0,2012,1,15,3.01
31.5,35.625,2012,1,15,3.91
32.0,34.375,2012,1,15,3.13
32.0,35.0,2012,1,15,2.51
32.0,35.625,2012,1,15,4.27
32.5,34.375,2012,1,15,2.74
32.5,35.0,2012,1,15,2.66
32.5,35.625,2012,1,15,3.97
33.0,34.375,2012,1,15,1.86
33.0,35.0,2012,1,15,2.12
33.0,35.625,2012,1,15,3.49
29.5,34.375,2012,1,16,3.58
29.5,35.0,2012,1,16,3.46
29.5,35.625,2012,1,16,5.44
30.0,34.375,2012,1,16,3.84
30.0,35.0,2012,1,16,4.47
30.0,35.625,2012,1,16,6.09
30.5,34.375,2012,1,16,2.9
30.5,35.0,2012,1,16,3.89
30.5,35.625,2012,1,16,5.31
31.0,34.375,2012,1,16,3.88
31.0,35.0,2012,1,16,4.71
31.0,35.625,2012,1,16,4.11
31.5,34.375,2012,1,16,2.57
31.5,35.0,2012,1,16,4.68
31.5,35.625,2012,1,16,3.21
32.0,34.375,2012,1,16,2.57
32.0,35.0,2012,1,16,3.21
32.0,35.625,2012,1,16,3.92
32.5,34.375,2012,1,16,2.57
32.5,35.0,2012,1,16,2.74
32.5,35.625,2012,1,16,2.46
33.0,34.375,2012,1,16,3.7
33.0,35.0,2012,1,16,2.23
33.0,35.625,2012,1,16,4.16
