-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2009 through 12/31/2009 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2MWET
31.5,35.625,2009,1,4,3.4
32.0,34.375,2009,1,4,12.27
32.0,35.0,2009,1,4,5.48
32.0,35.625,2009,1,4,2.07
32.5,34.375,2009,1,4,12.08
32.5,35.0,2009,1,4,6.33
32.5,35.625,2009,1,4,1.57
33.0,34.375,2009,1,4,12.12
33.0,35.0,2009,1,4,7.53
33.0,35.625,2009,1,4,0.49
29.5,34.375,2009,1,5,1.91
29.5,35.0,2009,1,5,1.02
29.5,35.625,2009,1,5,-2.8
30.0,34.375,2009,1,5,3.61
30.0,35.0,2009,1,5,1.87
30.0,35.625,2009,1,5,-2.87
30.5,34.375,2009,1,5,6.02
30.5,35.0,2009,1,5,5.11
30.5,35.625,2009,1,5,-0.83
31.0,34.375,2009,1,5,8.81
31.0,35.0,2009,1,5,7.02
31.0,35.625,2009,1,5,3.26
31.5,34.375,2009,1,5,12.52
31.5,35.0,2009,1,5,7.94
31.5,35.625,2009,1,5,6.22
32.0,34.375,2009,1,5,14.43
32.0,35.0,2009,1,5,9.49
32.0,35.625,2009,1,5,5.3
32.5,34.375,2009,1,5,14.49
32.5,35.0,2009,1,5,10.24
32.5,35.625,2009,1,5,5.13
33.0,34.375,2009,1,5,14.4
33.0,35.0,2009,1,5,10.95
33.0,35.625,2009,1,5,4.36
29.5,34.375,2009,1,6,0.16
29.5,35.0,2009,1,6,1.5
29.5,35.625,2009,1,6,-2.27
30.0,34.375,2009,1,6,1.84
30.0,35.0,2009,1,6,0.91
30.0,35.625,2009,1,6,-2.31
30.5,34.375,2009,1,6,3.33
