"Electricity statistics by Region, Technology, Data Type and Year",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year",Unnamed: 5
,,,2014.0,18615762.86,,
,,,2015.0,18817472.16,,
,,,2016.0,19106441.18,,
,,,2017.0,19471670.51,,
,,,2018.0,20034249.08,,
,,,2019.0,20057772.25,,
,,,2020.0,19519310.13,,
,,,2021.0,20517862.35,,
,,,2022.0,20591381.93,,
,,,2023.0,-,,
,,Electricity Installed Capacity (MW),2000.0,2761434.81,,
,,,2001.0,2780440.47,,
,,,2002.0,2889816.84,,
,,,2003.0,3011274.15,,
,,,2004.0,3100120.36,,
,,,2005.0,3206355.46,,
,,,2006.0,3346651.78,,
,,,2007.0,3474123.48,,
,,,2008.0,3577445.75,,
,,,2009.0,3697068.21,,
,,,2010.0,3846532.62,,
,,,2011.0,3977309.34,,
,,,2012.0,4081694.14,,
,,,2013.0,4191650.66,,
,,,2014.0,4326776.36,,
,,,2015.0,4420137.65,,
,,,2016.0,4535845.47,,
,,,2017.0,4631030.67,,
,,,2018.0,4765550.85,,
,,,2019.0,4820545.79,,
,,,2020.0,4885335.22,,
,,,2021.0,4955065.59,,
,,,2022.0,5033221.82,,
,,,2023.0,5113420.71,,
,Pumped storage,Electricity Generation (GWh),2000.0,87909.91,,
,,,2001.0,87697.28,,
,,,2002.0,89309.43,,
,,,2003.0,89244.24,,
,,,2004.0,91000.74,,
,,,2005.0,93979.4,,
,,,2006.0,94249.19,,
,,,2007.0,97233.6,,
,,,2008.0,91983.4,,
,,,2009.0,89440.25,,
,,,2010.0,95405.14,,
,,,2011.0,90414.43,,
,,,2012.0,89051.2,,
,,,2013.0,88988.17,,
,,,2014.0,92254.35,,
,,,2015.0,94030.76,,
,,,2016.0,114411.12,,
,,,2017.0,121015.63,,
,,,2018.0,117466.15,,
,,,2019.0,114164.07,,
,,,2020.0,120105.99,,
,,,2021.0,124571.21,,
,,,2022.0,141345.13,,
,,,2023.0,-,,
,,Electricity Installed Capacity (MW),2000.0,84966.55,,
,,,2001.0,80799.55,,
,,,2002.0,82575.55,,
,,,2003.0,82687.55,,
,,,2004.0,83998.55,,
,,,2005.0,86842.55,,
,,,2006.0,89524.55,,
,,,2007.0,93699.55,,
,,,2008.0,95618.55,,
,,,2009.0,100238.05,,
,,,2010.0,100052.05,,
,,,2011.0,103273.21,,
,,,2012.0,105605.29,,
,,,2013.0,107729.24,,
,,,2014.0,109470.74,,
,,,2015.0,111901.74,,
,,,2016.0,116994.78,,
,,,2017.0,119843.66,,
,,,2018.0,120366.16,,
,,,2019.0,120612.16,,
,,,2020.0,122319.02,,
,,,2021.0,127223.12,,
,,,2022.0,136653.74,,
,,,2023.0,142121.34,,
,Fossil fuels,Electricity Generation (GWh),2000.0,9957303.35,,
,,,2001.0,10069557.58,,
,,,2002.0,10550675.5,,
,,,2003.0,11134851.92,,
,,,2004.0,11612647.57,,
,,,2005.0,12151850.86,,
,,,2006.0,12669650.15,,
,,,2007.0,13466089.04,,
,,,2008.0,13651559.09,,
,,,2009.0,13461912.23,,
,,,2010.0,14440337.76,,
,,,2011.0,15120472.9,,
,,,2012.0,15446877.07,,
,,,2013.0,15798266.01,,
,,,2014.0,15882855.38,,
,,,2015.0,16043923.55,,
,,,2016.0,16263177.47,,
,,,2017.0,16587570.59,,
,,,2018.0,17062508.14,,
,,,2019.0,17007863.91,,
,,,2020.0,16574022.91,,
,,,2021.0,17438973.96,,
,,,2022.0,17599223.66,,
,,,2023.0,-,,
,,Electricity Installed Capacity (MW),2000.0,2289990.94,,
,,,2001.0,2313301.12,,
,,,2002.0,2434129.45,,
,,,2003.0,2554781.33,,
,,,2004.0,2634710.24,,
,,,2005.0,2732705.63,,
,,,2006.0,2869233.64,,
,,,2007.0,2991439.01,,
,,,2008.0,3093842.63,,
,,,2009.0,3207015.83,,
,,,2010.0,3351853.87,,
,,,2011.0,3475526.8,,
,,,2012.0,3584325.18,,
,,,2013.0,3692805.23,,
,,,2014.0,3818630.67,,
,,,2015.0,3909853.05,,
,,,2016.0,4004451.42,,
,,,2017.0,4094479.91,,
,,,2018.0,4217789.3,,
,,,2019.0,4271415.01,,
,,,2020.0,4337977.47,,
,,,2021.0,4397544.88,,
,,,2022.0,4452037.9,,
,,,2023.0,4528065.11,,
,Nuclear,Electricity Generation (GWh),2000.0,2588111.26,,
,,,2001.0,2636315.59,,
,,,2002.0,2661408.66,,
,,,2003.0,2637711.64,,
,,,2004.0,2740962.25,,
,,,2005.0,2769058.1,,
,,,2006.0,2791900.56,,
,,,2007.0,2720120.59,,
,,,2008.0,2734723.22,,
,,,2009.0,2692627.33,,
,,,2010.0,2750407.92,,
,,,2011.0,2576728.78,,
,,,2012.0,2460229.6,,
,,,2013.0,2476945.64,,
,,,2014.0,2533390.3,,
,,,2015.0,2569723.7,,
,,,2016.0,2605681.71,,
,,,2017.0,2633425.72,,
,,,2018.0,2708821.83,,
,,,2019.0,2780489.34,,
,,,2020.0,2679046.94,,
,,,2021.0,2788686.26,,
,,,2022.0,2676106.38,,
,,,2023.0,-,,
,,Electricity Installed Capacity (MW),2000.0,358461.5,,
,,,2001.0,360322.4,,
,,,2002.0,366680.5,,
,,,2003.0,366526.36,,
,,,2004.0,373804.6,,
,,,2005.0,377973.54,,
,,,2006.0,378598.27,,
,,,2007.0,379782.2,,
,,,2008.0,378601.6,,
,,,2009.0,379947.4,,
,,,2010.0,381693.9,,
,,,2011.0,386417.3,,
,,,2012.0,378876.7,,
,,,2013.0,376876.8,,
,,,2014.0,383714.8,,
,,,2015.0,383390.5,,
,,,2016.0,398320.3,,
,,,2017.0,398748.93,,
,,,2018.0,405197.69,,
,,,2019.0,403681.79,,
,,,2020.0,398902.39,,
,,,2021.0,401077.88,,
,,,2022.0,399757.38,,
,,,2023.0,397807.1,,
,Other non-renewable energy,Electricity Generation (GWh),2000.0,63449.36,,
,,,2001.0,68151.93,,
,,,2002.0,69789.71,,
,,,2003.0,68614.98,,
,,,2004.0,72074.34,,
,,,2005.0,77213.11,,
,,,2006.0,77840.63,,
,,,2007.0,75173.61,,
,,,2008.0,74551.69,,
,,,2009.0,79673.77,,
,,,2010.0,94536.79,,
,,,2011.0,100611.77,,
,,,2012.0,98125.89,,
,,,2013.0,103052.66,,
,,,2014.0,107262.83,,
,,,2015.0,109794.15,,
,,,2016.0,123170.89,,
,,,2017.0,129658.58,,
