-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2014 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE
31.5,35.0,2014,1,17,13.23
31.5,35.625,2014,1,17,10.11
32.0,34.375,2014,1,17,1.07
32.0,35.0,2014,1,17,10.5
32.0,35.625,2014,1,17,13.45
32.5,34.375,2014,1,17,0.86
32.5,35.0,2014,1,17,9.91
32.5,35.625,2014,1,17,14.93
33.0,34.375,2014,1,17,0.98
33.0,35.0,2014,1,17,6.81
33.0,35.625,2014,1,17,13.14
29.5,34.375,2014,1,18,11.91
29.5,35.0,2014,1,18,12.12
29.5,35.625,2014,1,18,13.96
30.0,34.375,2014,1,18,12.41
30.0,35.0,2014,1,18,11.83
30.0,35.625,2014,1,18,13.58
30.5,34.375,2014,1,18,11.93
30.5,35.0,2014,1,18,11.44
30.5,35.625,2014,1,18,11.94
31.0,34.375,2014,1,18,11.55
31.0,35.0,2014,1,18,11.63
31.0,35.625,2014,1,18,9.1
31.5,34.375,2014,1,18,5.86
31.5,35.0,2014,1,18,12.23
31.5,35.625,2014,1,18,10.06
32.0,34.375,2014,1,18,0.64
32.0,35.0,2014,1,18,10.64
32.0,35.625,2014,1,18,13.54
32.5,34.375,2014,1,18,0.57
32.5,35.0,2014,1,18,9.73
32.5,35.625,2014,1,18,15.29
33.0,34.375,2014,1,18,0.55
33.0,35.0,2014,1,18,5.03
33.0,35.625,2014,1,18,15.81
29.5,34.375,2014,1,19,14.87
29.5,35.0,2014,1,19,15.93
29.5,35.625,2014,1,19,15.59
30.0,34.375,2014,1,19,16.83
30.0,35.0,2014,1,19,15.89
30.0,35.625,2014,1,19,15.59
30.5,34.375,2014,1,19,15.95
30.5,35.0,2014,1,19,14.93
30.5,35.625,2014,1,19,15.13
31.0,34.375,2014,1,19,14.93
31.0,35.0,2014,1,19,12.61
31.0,35.625,2014,1,19,13.3
31.5,34.375,2014,1,19,8.9
31.5,35.0,2014,1,19,12.82
31.5,35.625,2014,1,19,9.68
32.0,34.375,2014,1,19,1.29
32.0,35.0,2014,1,19,10.78
32.0,35.625,2014,1,19,12.01
32.5,34.375,2014,1,19,1.17
32.5,35.0,2014,1,19,8.49
32.5,35.625,2014,1,19,13.17
33.0,34.375,2014,1,19,1.13
33.0,35.0,2014,1,19,4.73
33.0,35.625,2014,1,19,14.19
29.5,34.375,2014,1,20,14.51
29.5,35.0,2014,1,20,14.23
29.5,35.625,2014,1,20,16.5
30.0,34.375,2014,1,20,13.07
30.0,35.0,2014,1,20,11.6
30.0,35.625,2014,1,20,14.26
30.5,34.375,2014,1,20,12.85
30.5,35.0,2014,1,20,9.61
30.5,35.625,2014,1,20,11.86
31.0,34.375,2014,1,20,13.38
31.0,35.0,2014,1,20,11.72
31.0,35.625,2014,1,20,9.04
31.5,34.375,2014,1,20,8.4
31.5,35.0,2014,1,20,14.14
31.5,35.625,2014,1,20,9.31
32.0,34.375,2014,1,20,0.93
32.0,35.0,2014,1,20,12.11
32.0,35.625,2014,1,20,12.94
32.5,34.375,2014,1,20,0.65
32.5,35.0,2014,1,20,9.56
32.5,35.625,2014,1,20,15.4
33.0,34.375,2014,1,20,0.49
33.0,35.0,2014,1,20,5.66
33.0,35.625,2014,1,20,15.8
29.5,34.375,2014,1,21,13.78
29.5,35.0,2014,1,21,13.12
29.5,35.625,2014,1,21,14.25
30.0,34.375,2014,1,21,16.18
30.0,35.0,2014,1,21,14.15
30.0,35.625,2014,1,21,16.16
30.5,34.375,2014,1,21,16.58
30.5,35.0,2014,1,21,13.58
30.5,35.625,2014,1,21,15.55
31.0,34.375,2014,1,21,15.56
31.0,35.0,2014,1,21,12.7
31.0,35.625,2014,1,21,12.56
31.5,34.375,2014,1,21,9.52
31.5,35.0,2014,1,21,14.8
31.5,35.625,2014,1,21,11.21
32.0,34.375,2014,1,21,1.7
32.0,35.0,2014,1,21,13.15
32.0,35.625,2014,1,21,15.08
32.5,34.375,2014,1,21,1.3
32.5,35.0,2014,1,21,11.22
32.5,35.625,2014,1,21,17.15
33.0,34.375,2014,1,21,0.92
33.0,35.0,2014,1,21,7.06
33.0,35.625,2014,1,21,16.26
29.5,34.375,2014,1,22,13.3
29.5,35.0,2014,1,22,10.42
29.5,35.625,2014,1,22,14.54
30.0,34.375,2014,1,22,11.86
30.0,35.0,2014,1,22,12.67
30.0,35.625,2014,1,22,11.17
30.5,34.375,2014,1,22,12.4
30.5,35.0,2014,1,22,13.45
30.5,35.625,2014,1,22,8.92
31.0,34.375,2014,1,22,12.8
31.0,35.0,2014,1,22,12.1
31.0,35.625,2014,1,22,8.76
31.5,34.375,2014,1,22,7.61
31.5,35.0,2014,1,22,11.77
31.5,35.625,2014,1,22,8.88
32.0,34.375,2014,1,22,1.23
32.0,35.0,2014,1,22,9.57
32.0,35.625,2014,1,22,11.09
32.5,34.375,2014,1,22,1.05
32.5,35.0,2014,1,22,7.13
32.5,35.625,2014,1,22,12.97
33.0,34.375,2014,1,22,1.04
33.0,35.0,2014,1,22,6.54
33.0,35.625,2014,1,22,14.48
29.5,34.375,2014,1,23,13.0
29.5,35.0,2014,1,23,11.92
29.5,35.625,2014,1,23,16.33
30.0,34.375,2014,1,23,11.28
30.0,35.0,2014,1,23,11.78
30.0,35.625,2014,1,23,15.31
30.5,34.375,2014,1,23,11.11
30.5,35.0,2014,1,23,12.1
30.5,35.625,2014,1,23,11.77
31.0,34.375,2014,1,23,9.83
31.0,35.0,2014,1,23,11.34
31.0,35.625,2014,1,23,9.81
31.5,34.375,2014,1,23,4.56
31.5,35.0,2014,1,23,11.38
31.5,35.625,2014,1,23,9.5
32.0,34.375,2014,1,23,1.01
32.0,35.0,2014,1,23,8.63
32.0,35.625,2014,1,23,10.63
32.5,34.375,2014,1,23,0.97
32.5,35.0,2014,1,23,5.25
32.5,35.625,2014,1,23,11.52
33.0,34.375,2014,1,23,0.69
33.0,35.0,2014,1,23,3.42
33.0,35.625,2014,1,23,10.51
29.5,34.375,2014,1,24,11.15
29.5,35.0,2014,1,24,13.52
29.5,35.625,2014,1,24,15.28
30.0,34.375,2014,1,24,11.08
30.0,35.0,2014,1,24,10.9
30.0,35.625,2014,1,24,15.15
30.5,34.375,2014,1,24,11.41
30.5,35.0,2014,1,24,11.31
30.5,35.625,2014,1,24,11.24
31.0,34.375,2014,1,24,11.33
31.0,35.0,2014,1,24,10.8
31.0,35.625,2014,1,24,10.55
31.5,34.375,2014,1,24,6.73
31.5,35.0,2014,1,24,11.52
31.5,35.625,2014,1,24,9.35
32.0,34.375,2014,1,24,1.07
32.0,35.0,2014,1,24,10.25
32.0,35.625,2014,1,24,10.74
32.5,34.375,2014,1,24,0.97
32.5,35.0,2014,1,24,7.79
32.5,35.625,2014,1,24,12.8
33.0,34.375,2014,1,24,0.69
33.0,35.0,2014,1,24,4.4
