LAT,LON,YEAR,MO,DY,WS10M_RANGE
29.5,35.625,2022,6,22,5.04
29.5,35.0,2022,6,22,4.32
29.5,34.375,2022,6,22,4.79
29.5,35.625,2024,4,6,8.34
29.5,35.0,2024,4,6,5.2
29.5,34.375,2024,4,6,5.55
29.5,34.375,2023,4,27,4.15
29.5,34.375,2023,7,9,4.99
29.5,35.625,2023,2,17,2.59
29.5,35.0,2023,2,17,2.25
29.5,34.375,2023,2,17,3.19
29.5,35.625,2023,7,1,5.83
29.5,35.0,2023,7,1,4.21
29.5,34.375,2023,7,1,4.58
29.5,35.625,2021,4,12,6.51
29.5,34.375,2021,3,24,6.77
29.5,35.625,2021,3,23,11.02
29.5,35.0,2021,3,23,10.35
29.5,34.375,2021,3,23,9.43
29.5,35.0,2024,3,25,3.03
29.5,34.375,2024,3,25,4.6
29.5,35.625,2024,4,7,6.64
29.5,35.625,2020,1,15,3.53
29.5,35.0,2020,1,15,5.11
29.5,34.375,2020,1,15,1.87
29.5,35.625,2020,1,14,3.81
29.5,35.0,2020,1,14,4.05
29.5,34.375,2020,1,14,2.01
29.5,35.625,2023,7,9,5.36
29.5,35.0,2023,7,9,4.52
29.5,35.625,2024,3,26,4.55
29.5,35.0,2024,3,26,4.56
29.5,34.375,2024,3,26,3.86
29.5,35.625,2022,10,27,1.41
29.5,35.0,2022,10,27,3.98
29.5,34.375,2022,10,27,2.69
29.5,35.625,2023,4,27,6.72
29.5,35.0,2023,4,27,4.29
29.5,35.625,2021,4,14,4.59
29.5,35.0,2021,4,14,3.67
29.5,34.375,2021,4,14,2.65
29.5,35.625,2022,10,22,5.07
29.5,35.625,2022,6,20,8.31
29.5,35.0,2022,6,20,3.37
29.5,34.375,2022,6,20,3.36
29.5,35.625,2024,12,23,3.53
29.5,35.0,2024,12,23,3.65
29.5,34.375,2024,12,23,6.2
29.5,35.625,2022,6,21,4.88
29.5,35.0,2022,6,21,4.03
29.5,34.375,2022,6,21,4.0
29.5,35.625,2023,7,10,4.63
29.5,35.0,2023,7,10,3.98
29.5,34.375,2023,7,10,2.97
29.5,34.375,2022,10,22,2.99
29.5,35.625,2021,3,22,6.91
29.5,35.0,2021,3,22,5.48
29.5,34.375,2021,3,22,4.67
29.5,35.625,2021,4,15,6.27
29.5,34.375,2022,6,19,5.03
29.5,35.625,2023,2,12,3.02
29.5,35.0,2023,2,12,2.53
29.5,34.375,2023,2,12,2.92
29.5,35.625,2020,1,16,5.2
29.5,35.0,2020,1,16,6.02
29.5,34.375,2020,1,16,5.78
29.5,35.625,2024,3,25,3.91
29.5,35.625,2024,4,8,5.18
29.5,35.0,2024,4,8,3.35
29.5,34.375,2024,4,8,4.83
29.5,35.625,2023,2,18,4.39
29.5,35.0,2023,2,18,3.68
29.5,34.375,2023,2,18,2.71
29.5,35.625,2022,6,19,7.08
29.5,35.0,2022,6,19,3.88
29.5,35.0,2021,4,15,5.32
29.5,34.375,2021,4,15,6.38
29.5,35.625,2022,10,28,2.58
29.5,35.0,2022,10,28,1.95
29.5,34.375,2022,10,28,2.91
29.5,35.625,2021,3,21,11.47
29.5,35.0,2021,3,21,9.88
29.5,34.375,2021,3,21,10.92
29.5,35.625,2022,10,21,6.34
29.5,35.0,2022,10,21,2.6
29.5,35.0,2022,10,22,2.58
29.5,34.375,2021,4,16,5.14
29.5,35.625,2024,4,9,7.17
29.5,35.0,2024,4,9,8.51
29.5,34.375,2024,4,9,9.0
29.5,35.625,2024,3,24,5.28
29.5,35.0,2024,3,24,4.99
29.5,34.375,2024,3,24,4.55
29.5,35.625,2024,12,22,2.41
29.5,35.0,2024,12,22,1.94
29.5,34.375,2024,12,22,1.47
29.5,35.625,2020,1,17,5.92
29.5,35.0,2020,1,17,5.43
29.5,34.375,2020,1,17,5.23
29.5,35.625,2022,6,18,6.88
29.5,35.0,2022,6,18,2.73
29.5,34.375,2022,6,18,4.48
29.5,35.0,2021,3,19,2.78
29.5,34.375,2021,3,19,3.29
29.5,35.625,2024,3,23,3.03
29.5,35.0,2024,3,23,3.87
29.5,34.375,2024,3,23,4.48
29.5,35.625,2023,7,12,4.65
29.5,35.0,2023,7,12,6.36
29.5,34.375,2023,7,12,5.22
29.5,35.625,2020,1,18,4.22
29.5,35.0,2020,1,18,2.42
29.5,34.375,2020,1,18,2.97
29.5,35.625,2022,7,6,4.58
29.5,35.0,2022,7,6,4.44
29.5,34.375,2022,7,6,4.92
29.5,35.625,2021,4,16,5.26
29.5,35.0,2021,4,16,5.51
29.5,34.375,2021,4,17,3.93
29.5,35.625,2023,4,23,7.58
29.5,35.0,2023,4,23,3.91
29.5,34.375,2023,4,23,3.46
29.5,35.625,2021,4,18,2.54
29.5,35.0,2021,4,18,2.99
29.5,35.625,2020,1,19,4.3
29.5,35.0,2020,1,19,2.84
29.5,34.375,2020,1,19,3.34
29.5,35.625,2023,7,11,4.77
29.5,35.0,2023,7,11,3.1
29.5,34.375,2023,7,11,5.3
29.5,35.625,2021,3,20,7.89
29.5,35.0,2021,3,20,4.48
29.5,34.375,2021,3,20,5.34
29.5,35.625,2021,3,19,6.04
29.5,35.0,2024,4,10,5.32
29.5,34.375,2024,4,10,4.86
29.5,35.625,2021,4,19,5.23
29.5,35.0,2021,4,19,5.38
29.5,34.375,2021,4,19,5.22
29.5,35.625,2024,12,20,5.46
29.5,35.0,2024,12,20,4.23
29.5,34.375,2024,12,20,4.61
29.5,35.625,2024,12,21,2.97
29.5,35.0,2024,12,21,1.24
29.5,34.375,2024,12,21,2.01
29.5,35.625,2022,6,17,7.48
29.5,35.0,2022,6,17,3.73
29.5,34.375,2022,6,17,3.31
29.5,35.625,2021,4,17,2.55
29.5,35.0,2021,4,17,3.86
29.5,35.0,2021,3,18,2.98
29.5,34.375,2021,3,18,3.59
29.5,35.625,2024,4,11,3.5
29.5,35.0,2024,4,11,4.03
29.5,34.375,2024,4,11,4.99
29.5,35.625,2022,6,15,5.32
29.5,35.0,2022,6,15,4.37
29.5,34.375,2022,6,15,6.2
29.5,35.625,2023,2,11,7.7
29.5,35.0,2023,2,11,5.63
29.5,34.375,2023,2,11,8.77
29.5,35.625,2022,6,16,6.11
29.5,35.0,2022,6,16,5.93
29.5,34.375,2022,6,16,5.05
29.5,34.375,2021,4,18,2.04
29.5,35.625,2024,4,10,5.38
29.5,35.0,2020,1,20,4.98
29.5,34.375,2020,1,20,5.57
29.5,35.625,2023,7,13,7.41
29.5,35.0,2023,7,13,7.97
29.5,34.375,2023,7,13,5.46
29.5,35.625,2022,10,20,4.06
29.5,35.0,2022,10,20,1.79
29.5,34.375,2022,10,20,3.66
29.5,35.625,2021,3,17,9.63
29.5,35.0,2021,3,17,5.98
29.5,34.375,2021,3,17,7.37
29.5,35.625,2021,4,20,7.04
29.5,35.0,2021,4,20,5.52
29.5,34.375,2021,4,20,6.93
29.5,35.625,2024,3,22,4.5
29.5,35.625,2021,3,18,4.64
29.5,35.0,2024,3,22,3.0
29.5,34.375,2024,3,22,3.54
29.5,34.375,2022,10,21,5.14
29.5,35.625,2021,3,16,8.15
29.5,35.0,2021,3,16,4.55
29.5,34.375,2021,3,16,5.92
29.5,35.625,2021,4,21,6.91
29.5,35.0,2021,4,21,3.77
29.5,34.375,2021,4,21,4.46
29.5,35.625,2020,1,21,7.08
29.5,35.0,2020,1,21,6.84
29.5,34.375,2020,1,21,5.98
29.5,35.625,2023,6,30,6.61
29.5,35.0,2023,6,30,4.23
29.5,34.375,2023,6,30,5.21
29.5,35.625,2020,1,20,4.75
29.5,34.375,2021,4,22,4.18
29.5,35.625,2020,1,22,2.99
29.5,35.0,2020,1,22,4.19
29.5,34.375,2020,1,22,5.29
29.5,35.625,2022,7,7,2.21
29.5,35.0,2022,7,7,2.26
29.5,34.375,2022,7,7,3.23
29.5,35.625,2022,6,14,6.39
29.5,35.0,2022,6,14,2.56
29.5,34.375,2022,6,14,4.55
29.5,35.625,2021,3,15,8.27
29.5,35.0,2021,3,15,6.29
29.5,34.375,2021,3,15,8.45
29.5,35.625,2023,4,22,3.62
29.5,35.0,2023,4,22,1.43
29.5,34.375,2023,4,22,3.28
29.5,35.0,2020,1,23,4.43
29.5,34.375,2020,1,23,4.27
29.5,35.625,2024,12,19,3.63
29.5,35.0,2024,12,19,3.99
29.5,34.375,2024,12,19,4.87
29.5,35.625,2023,7,14,6.59
29.5,35.0,2023,7,14,6.49
29.5,34.375,2023,7,14,5.99
29.5,35.625,2022,10,29,4.26
29.5,35.0,2022,10,29,2.9
29.5,34.375,2022,10,29,3.33
29.5,35.625,2024,4,12,5.31
29.5,35.0,2024,4,12,4.68
29.5,35.625,2024,3,21,5.65
29.5,35.0,2024,3,21,4.07
29.5,34.375,2024,3,21,7.26
29.5,35.625,2024,4,13,4.79
29.5,35.0,2024,4,13,3.27
29.5,34.375,2024,4,13,3.35
29.5,35.625,2021,4,23,6.28
29.5,35.0,2021,4,23,3.38
29.5,34.375,2021,4,23,3.02
29.5,35.625,2024,12,18,3.13
29.5,35.0,2024,12,18,4.56
29.5,34.375,2024,12,18,3.67
29.5,35.625,2022,6,13,4.34
29.5,35.0,2022,6,13,3.3
29.5,34.375,2022,6,13,3.71
29.5,35.625,2022,6,12,8.26
29.5,35.0,2022,6,12,5.79
29.5,34.375,2022,6,12,6.55
29.5,35.625,2020,1,23,4.54
29.5,35.0,2024,3,19,6.04
29.5,35.625,2023,2,19,4.47
29.5,35.0,2023,2,19,5.32
29.5,34.375,2023,2,19,3.24
29.5,35.625,2023,6,29,4.6
29.5,35.0,2023,6,29,5.4
29.5,34.375,2023,6,29,5.42
29.5,35.625,2021,4,22,6.49
29.5,35.0,2021,4,22,3.59
29.5,35.625,2021,3,14,4.17
29.5,35.0,2021,3,14,4.26
29.5,34.375,2021,3,14,4.77
29.5,35.625,2021,3,13,2.59
29.5,35.0,2021,3,13,2.9
29.5,34.375,2024,3,19,6.24
29.5,34.375,2024,4,12,5.13
29.5,35.0,2023,7,16,4.12
29.5,34.375,2023,7,16,4.29
29.5,35.625,2020,1,24,11.68
29.5,35.0,2020,1,24,7.92
29.5,34.375,2020,1,24,7.36
29.5,35.625,2023,7,15,6.32
29.5,35.0,2023,7,15,5.12
29.5,34.375,2023,7,15,5.07
29.5,35.625,2024,3,20,4.17
29.5,35.0,2024,3,20,2.39
29.5,34.375,2024,3,20,3.71
29.5,34.375,2021,3,13,2.68
29.5,35.625,2022,10,19,7.61
29.5,35.0,2022,10,19,2.2
29.5,34.375,2022,10,19,4.95
29.5,35.625,2024,3,19,7.84
29.5,34.375,2022,6,10,4.01
29.5,35.625,2020,1,25,3.54
29.5,35.0,2020,1,25,3.26
29.5,34.375,2020,1,25,3.89
29.5,35.625,2022,6,11,6.26
29.5,35.0,2022,6,11,3.47
