LAT,LON,YEAR,MO,DY,T2M_MAX
29.5,34.375,2024,4,7,22.81
29.5,35.625,2021,3,24,19.37
29.5,35.0,2021,3,24,21.62
29.5,35.625,2021,4,13,23.85
29.5,35.0,2021,4,13,24.46
29.5,34.375,2021,4,13,21.85
29.5,35.625,2024,12,24,17.03
29.5,35.0,2024,12,24,19.17
29.5,34.375,2024,12,24,17.92
29.5,35.625,2022,6,22,28.37
29.5,35.0,2022,6,22,30.37
29.5,34.375,2022,6,22,29.02
29.5,35.625,2024,4,6,27.56
29.5,35.0,2024,4,6,26.31
29.5,34.375,2024,4,6,25.05
29.5,34.375,2023,4,27,28.5
29.5,34.375,2023,7,9,34.33
29.5,35.625,2023,2,17,14.36
29.5,35.0,2023,2,17,18.18
29.5,34.375,2023,2,17,16.11
29.5,35.625,2023,7,1,36.02
29.5,35.0,2023,7,1,35.62
29.5,34.375,2023,7,1,33.79
29.5,35.625,2021,4,12,22.25
29.5,34.375,2021,3,24,19.01
29.5,35.625,2021,3,23,32.68
29.5,35.0,2021,3,23,31.89
29.5,34.375,2021,3,23,34.49
29.5,35.0,2024,3,25,18.74
29.5,34.375,2024,3,25,17.87
29.5,35.625,2024,4,7,24.04
29.5,35.625,2020,1,15,19.22
29.5,35.0,2020,1,15,22.64
29.5,34.375,2020,1,15,22.11
29.5,35.625,2020,1,14,14.08
29.5,35.0,2020,1,14,17.85
29.5,34.375,2020,1,14,16.16
29.5,35.625,2023,7,9,34.82
29.5,35.0,2023,7,9,34.93
29.5,35.625,2024,3,26,21.29
29.5,35.0,2024,3,26,23.33
29.5,34.375,2024,3,26,22.35
29.5,35.625,2022,10,27,25.86
29.5,35.0,2022,10,27,27.3
29.5,34.375,2022,10,27,24.72
29.5,35.625,2023,4,27,28.58
29.5,35.0,2023,4,27,29.15
29.5,35.625,2021,4,14,26.33
29.5,35.0,2021,4,14,29.04
29.5,34.375,2021,4,14,27.07
29.5,35.625,2022,10,22,28.93
29.5,35.625,2022,6,20,39.94
29.5,35.0,2022,6,20,34.52
29.5,34.375,2022,6,20,32.73
29.5,35.625,2024,12,23,18.34
29.5,35.0,2024,12,23,20.57
29.5,34.375,2024,12,23,19.28
29.5,35.625,2022,6,21,31.78
29.5,35.0,2022,6,21,32.05
29.5,34.375,2022,6,21,30.33
29.5,35.625,2023,7,10,34.72
29.5,35.0,2023,7,10,34.15
29.5,34.375,2023,7,10,33.37
29.5,34.375,2022,10,22,25.4
29.5,35.625,2021,3,22,31.6
29.5,35.0,2021,3,22,32.3
29.5,34.375,2021,3,22,33.12
29.5,35.625,2021,4,15,29.28
29.5,34.375,2022,6,19,33.95
29.5,35.625,2023,2,12,11.51
29.5,35.0,2023,2,12,13.07
29.5,34.375,2023,2,12,11.07
29.5,35.625,2020,1,16,23.62
29.5,35.0,2020,1,16,23.72
29.5,34.375,2020,1,16,23.61
29.5,35.625,2024,3,25,17.04
29.5,35.625,2024,4,8,24.05
29.5,35.0,2024,4,8,25.2
29.5,34.375,2024,4,8,24.51
29.5,35.625,2023,2,18,16.06
29.5,35.0,2023,2,18,20.19
29.5,34.375,2023,2,18,18.34
29.5,35.625,2022,6,19,39.48
29.5,35.0,2022,6,19,35.26
29.5,35.0,2021,4,15,32.17
29.5,34.375,2021,4,15,30.38
29.5,35.625,2022,10,28,25.97
29.5,35.0,2022,10,28,28.32
29.5,34.375,2022,10,28,25.54
29.5,35.625,2021,3,21,30.86
29.5,35.0,2021,3,21,33.58
29.5,34.375,2021,3,21,33.71
29.5,35.625,2022,10,21,30.73
29.5,35.0,2022,10,21,29.08
29.5,35.0,2022,10,22,28.33
29.5,34.375,2021,4,16,31.3
29.5,35.625,2024,4,9,22.82
29.5,35.0,2024,4,9,25.84
29.5,34.375,2024,4,9,24.63
29.5,35.625,2024,3,24,17.31
29.5,35.0,2024,3,24,18.43
