LAT,LON,YEAR,MO,DY,T2M_RANGE
29.5,35.625,2022,10,19,15.44
29.5,35.0,2022,10,19,13.37
29.5,34.375,2022,10,19,16.04
29.5,35.625,2024,3,19,9.33
29.5,34.375,2022,6,10,17.85
29.5,35.625,2020,1,25,13.37
29.5,35.0,2020,1,25,11.47
29.5,34.375,2020,1,25,10.91
29.5,35.625,2022,6,11,19.46
29.5,35.0,2022,6,11,17.31
29.5,34.375,2022,6,11,18.82
29.5,35.625,2024,4,14,18.1
29.5,35.0,2024,4,14,14.53
29.5,34.375,2024,4,14,15.14
29.5,35.625,2021,4,24,14.58
29.5,35.0,2021,4,24,15.59
29.5,34.375,2021,4,24,21.94
29.5,35.625,2023,4,28,16.18
29.5,35.0,2023,4,28,15.46
29.5,35.625,2023,7,16,18.99
29.5,34.375,2023,4,28,16.68
29.5,35.625,2021,3,12,12.44
29.5,35.0,2021,3,12,10.9
29.5,34.375,2021,3,12,10.92
29.5,35.625,2021,4,25,16.82
29.5,35.0,2021,4,25,16.89
29.5,34.375,2021,4,25,21.42
29.5,34.375,2022,7,8,18.84
29.5,35.625,2020,1,26,15.99
29.5,35.0,2020,1,26,15.37
29.5,34.375,2020,1,26,13.05
29.5,35.625,2024,12,17,14.54
29.5,35.0,2024,12,17,13.77
29.5,34.375,2024,12,17,13.72
29.5,35.625,2022,6,10,18.95
29.5,35.0,2022,6,10,16.48
29.5,35.0,2024,12,16,15.46
29.5,34.375,2024,12,16,15.72
29.5,35.625,2020,1,27,16.81
29.5,35.0,2020,1,27,16.0
29.5,34.375,2020,1,27,16.02
29.5,35.625,2022,7,8,20.67
29.5,35.0,2022,7,8,17.43
29.5,35.625,2021,3,11,16.07
29.5,35.0,2021,3,11,16.98
29.5,34.375,2021,3,11,18.35
29.5,35.625,2024,4,15,15.5
29.5,35.0,2024,4,15,12.4
29.5,34.375,2024,4,15,12.64
29.5,34.375,2022,10,31,10.31
29.5,35.625,2021,4,26,16.79
29.5,35.0,2021,4,26,15.48
29.5,35.625,2022,10,30,14.47
29.5,35.0,2022,10,30,10.75
29.5,34.375,2022,10,30,10.41
29.5,35.625,2021,4,27,21.81
29.5,35.0,2021,4,27,14.83
29.5,34.375,2021,4,27,15.87
29.5,35.625,2024,3,18,11.32
29.5,35.625,2023,7,17,16.44
29.5,35.0,2023,7,17,14.47
29.5,34.375,2023,7,17,16.01
29.5,35.625,2022,6,9,18.4
29.5,35.0,2022,6,9,16.48
29.5,34.375,2022,6,9,17.1
29.5,35.625,2022,6,8,18.38
29.5,35.0,2022,6,8,15.85
29.5,35.625,2024,12,16,19.72
29.5,35.0,2022,6,7,14.63
29.5,35.0,2020,1,28,11.1
29.5,34.375,2020,1,28,13.04
29.5,35.625,2023,2,10,16.53
29.5,35.0,2023,2,10,13.67
29.5,34.375,2023,2,10,14.35
29.5,34.375,2022,6,8,16.83
29.5,35.0,2024,3,18,9.85
29.5,34.375,2024,3,18,9.16
29.5,35.625,2021,3,10,21.11
29.5,35.0,2021,3,10,17.51
29.5,34.375,2021,3,10,19.72
29.5,35.625,2024,3,17,22.0
29.5,35.0,2024,3,17,18.58
29.5,34.375,2024,3,17,21.63
29.5,34.375,2021,4,26,17.67
29.5,34.375,2021,4,29,21.69
29.5,35.625,2020,1,29,11.8
29.5,35.0,2020,1,29,10.0
29.5,34.375,2020,1,29,10.83
29.5,35.625,2020,1,28,11.47
29.5,35.625,2023,7,18,16.01
29.5,35.0,2023,7,18,13.95
29.5,34.375,2023,7,18,16.62
29.5,35.625,2023,4,29,13.99
29.5,35.0,2023,4,29,12.38
29.5,34.375,2023,4,29,12.77
29.5,35.625,2021,3,9,18.24
29.5,35.0,2021,3,9,18.8
29.5,34.375,2021,3,9,19.95
29.5,35.625,2024,4,16,17.37
29.5,35.625,2022,6,7,18.52
29.5,35.0,2024,12,14,10.5
29.5,34.375,2024,12,14,10.39
29.5,35.625,2024,12,15,13.33
29.5,35.0,2024,12,15,13.51
29.5,34.375,2024,12,15,15.2
29.5,34.375,2022,6,7,15.27
29.5,35.625,2022,6,6,15.62
29.5,35.0,2022,6,6,12.46
29.5,34.375,2022,6,6,13.67
29.5,35.0,2024,4,16,17.17
29.5,34.375,2024,4,16,17.69
29.5,35.625,2021,3,8,19.45
29.5,35.0,2021,3,8,15.53
29.5,34.375,2021,3,8,14.74
29.5,35.625,2021,4,29,20.29
29.5,35.0,2021,4,29,19.37
29.5,35.625,2023,2,20,19.52
29.5,35.0,2023,2,20,15.04
29.5,34.375,2023,2,20,13.61
29.5,35.625,2024,12,14,11.73
29.5,35.625,2022,7,9,19.26
29.5,35.0,2022,7,9,17.08
29.5,35.625,2021,4,28,20.71
29.5,35.0,2021,4,28,20.2
29.5,34.375,2021,4,28,22.3
29.5,35.625,2024,4,17,17.59
29.5,35.0,2024,4,17,14.9
29.5,34.375,2024,4,17,16.9
29.5,35.625,2024,3,16,20.4
29.5,35.0,2024,3,16,16.69
29.5,34.375,2024,3,16,17.62
29.5,34.375,2022,7,9,18.39
29.5,35.0,2023,2,9,10.68
29.5,34.375,2023,2,9,11.33
29.5,35.625,2023,7,19,17.86
29.5,35.0,2023,7,19,16.31
29.5,35.625,2022,10,31,14.89
29.5,35.0,2022,10,31,11.23
29.5,35.625,2021,3,7,22.28
29.5,35.0,2021,3,7,17.84
29.5,34.375,2021,3,7,17.04
29.5,35.625,2022,10,18,17.96
29.5,35.0,2022,10,18,13.4
29.5,34.375,2022,10,18,13.89
29.5,35.625,2021,4,30,17.33
29.5,35.0,2021,4,30,17.4
29.5,34.375,2021,4,30,19.32
29.5,34.375,2023,7,19,18.12
29.5,35.625,2021,3,6,19.54
29.5,35.0,2021,3,6,19.33
29.5,34.375,2021,3,6,19.05
29.5,35.625,2021,5,1,15.96
29.5,35.0,2021,5,1,15.4
29.5,34.375,2021,5,1,17.42
29.5,35.625,2020,1,31,12.79
29.5,35.0,2020,1,31,12.31
29.5,34.375,2020,1,31,13.08
29.5,35.625,2022,6,5,15.7
29.5,35.0,2022,6,5,14.92
29.5,34.375,2022,6,5,16.82
29.5,35.625,2020,1,30,17.74
29.5,35.0,2020,1,30,14.88
29.5,34.375,2020,1,30,14.95
29.5,35.625,2023,2,9,12.53
29.5,35.0,2020,2,1,12.55
29.5,34.375,2020,2,1,13.54
29.5,35.625,2022,7,10,17.34
29.5,35.0,2022,7,10,16.7
29.5,34.375,2022,7,10,16.84
29.5,35.625,2022,6,4,18.76
29.5,35.0,2022,6,4,17.01
29.5,34.375,2022,6,4,18.46
29.5,35.625,2021,3,5,16.28
29.5,35.0,2021,3,5,13.8
29.5,34.375,2021,3,5,13.18
29.5,35.625,2022,11,1,13.54
29.5,35.0,2022,11,1,10.6
29.5,34.375,2022,11,1,10.49
29.5,35.625,2024,3,15,14.33
29.5,35.0,2024,3,15,12.63
29.5,34.375,2023,4,21,15.75
29.5,35.625,2024,4,18,18.07
29.5,35.625,2022,10,17,17.18
29.5,35.0,2022,10,17,13.5
29.5,35.625,2022,6,2,20.46
29.5,35.0,2022,6,2,17.3
29.5,34.375,2022,6,2,19.7
29.5,35.625,2024,12,13,12.18
29.5,35.0,2024,12,13,9.26
29.5,34.375,2024,12,13,8.35
29.5,35.625,2023,7,20,17.51
29.5,35.0,2023,7,20,16.02
29.5,34.375,2023,7,20,18.43
29.5,35.625,2023,2,8,8.72
29.5,35.0,2023,2,8,9.21
29.5,35.625,2020,2,1,14.17
29.5,34.375,2024,4,19,15.53
29.5,34.375,2021,5,3,18.96
29.5,35.625,2021,5,2,17.65
29.5,35.0,2021,5,2,16.34
29.5,34.375,2021,5,2,17.36
29.5,35.0,2024,12,12,8.19
29.5,34.375,2024,12,12,10.02
29.5,35.625,2020,2,2,14.69
29.5,35.0,2020,2,2,15.39
29.5,34.375,2020,2,2,14.65
29.5,35.625,2022,6,3,19.07
29.5,35.0,2022,6,3,16.58
29.5,34.375,2022,6,3,19.3
29.5,34.375,2024,3,15,13.83
29.5,35.625,2023,4,21,19.24
29.5,35.0,2023,4,21,15.66
29.5,35.625,2021,3,3,18.12
29.5,35.625,2024,3,14,15.49
29.5,35.0,2024,3,14,14.07
29.5,34.375,2024,3,14,16.79
29.5,35.625,2023,6,28,18.68
29.5,35.0,2023,6,28,15.81
29.5,34.375,2023,6,28,17.15
29.5,35.625,2020,2,3,19.68
29.5,35.0,2020,2,3,15.96
29.5,34.375,2020,2,3,16.43
29.5,35.625,2024,12,12,11.0
29.5,34.375,2022,10,17,15.41
