LAT,LON,YEAR,MO,DY,PS
29.5,34.375,2021,4,26,92.32
29.5,34.375,2021,4,29,92.89
29.5,35.625,2020,1,29,89.77
29.5,35.0,2020,1,29,94.42
29.5,34.375,2020,1,29,93.16
29.5,35.625,2020,1,28,89.54
29.5,35.625,2023,7,18,88.9
29.5,35.0,2023,7,18,93.19
29.5,34.375,2023,7,18,92.05
29.5,35.625,2023,4,29,89.05
29.5,35.0,2023,4,29,93.62
29.5,34.375,2023,4,29,92.4
29.5,35.625,2021,3,9,89.53
29.5,35.0,2021,3,9,93.99
29.5,34.375,2021,3,9,92.78
29.5,35.625,2024,4,16,89.47
29.5,35.625,2022,6,7,88.97
29.5,35.0,2024,12,14,94.61
29.5,34.375,2024,12,14,93.4
29.5,35.625,2024,12,15,90.24
29.5,35.0,2024,12,15,94.75
29.5,34.375,2024,12,15,93.5
29.5,34.375,2022,6,7,92.22
29.5,35.625,2022,6,6,89.1
29.5,35.0,2022,6,6,93.49
29.5,34.375,2022,6,6,92.34
29.5,35.0,2024,4,16,93.87
29.5,34.375,2024,4,16,92.71
29.5,35.625,2021,3,8,89.42
29.5,35.0,2021,3,8,94.02
29.5,34.375,2021,3,8,92.79
29.5,35.625,2021,4,29,89.69
29.5,35.0,2021,4,29,94.04
29.5,35.625,2023,2,20,89.63
29.5,35.0,2023,2,20,94.22
29.5,34.375,2023,2,20,93.01
29.5,35.625,2024,12,14,90.03
29.5,35.625,2022,7,9,88.84
29.5,35.0,2022,7,9,93.2
29.5,35.625,2021,4,28,89.56
29.5,35.0,2021,4,28,93.98
29.5,34.375,2021,4,28,92.81
29.5,35.625,2024,4,17,89.26
29.5,35.0,2024,4,17,93.64
29.5,34.375,2024,4,17,92.42
29.5,35.625,2024,3,16,89.59
29.5,35.0,2024,3,16,94.1
29.5,34.375,2024,3,16,92.88
29.5,34.375,2022,7,9,92.06
29.5,35.0,2023,2,9,94.55
29.5,34.375,2023,2,9,93.27
29.5,35.625,2023,7,19,88.78
29.5,35.0,2023,7,19,93.1
29.5,35.625,2022,10,31,89.44
29.5,35.0,2022,10,31,93.95
29.5,35.625,2021,3,7,89.53
29.5,35.0,2021,3,7,94.06
29.5,34.375,2021,3,7,92.85
29.5,35.625,2022,10,18,89.61
29.5,35.0,2022,10,18,94.07
29.5,34.375,2022,10,18,92.89
29.5,35.625,2021,4,30,89.64
29.5,35.0,2021,4,30,94.0
29.5,34.375,2021,4,30,92.85
29.5,34.375,2023,7,19,91.97
29.5,35.625,2021,3,6,89.95
29.5,35.0,2021,3,6,94.43
29.5,34.375,2021,3,6,93.23
29.5,35.625,2021,5,1,89.63
29.5,35.0,2021,5,1,94.04
29.5,34.375,2021,5,1,92.87
29.5,35.625,2020,1,31,89.55
29.5,35.0,2020,1,31,94.23
29.5,34.375,2020,1,31,92.98
29.5,35.625,2022,6,5,89.15
29.5,35.0,2022,6,5,93.51
29.5,34.375,2022,6,5,92.36
29.5,35.625,2020,1,30,89.78
29.5,35.0,2020,1,30,94.37
29.5,34.375,2020,1,30,93.12
29.5,35.625,2023,2,9,89.87
29.5,35.0,2020,2,1,94.4
29.5,34.375,2020,2,1,93.14
29.5,35.625,2022,7,10,88.79
29.5,35.0,2022,7,10,93.16
29.5,34.375,2022,7,10,92.01
29.5,35.625,2022,6,4,89.18
29.5,35.0,2022,6,4,93.56
29.5,34.375,2022,6,4,92.42
29.5,35.625,2021,3,5,89.97
29.5,35.0,2021,3,5,94.61
29.5,34.375,2021,3,5,93.37
29.5,35.625,2022,11,1,89.5
29.5,35.0,2022,11,1,94.03
29.5,34.375,2022,11,1,92.85
29.5,35.625,2024,3,15,89.49
29.5,35.0,2024,3,15,94.07
29.5,34.375,2023,4,21,92.22
29.5,35.625,2024,4,18,89.21
29.5,35.625,2022,10,17,89.57
29.5,35.0,2022,10,17,94.03
29.5,35.625,2022,6,2,88.9
29.5,35.0,2022,6,2,93.33
29.5,34.375,2022,6,2,92.17
29.5,35.625,2024,12,13,89.71
29.5,35.0,2024,12,13,94.31
29.5,34.375,2024,12,13,93.08
29.5,35.625,2023,7,20,88.92
29.5,35.0,2023,7,20,93.25
29.5,34.375,2023,7,20,92.11
29.5,35.625,2023,2,8,89.74
29.5,35.0,2023,2,8,94.47
29.5,35.625,2020,2,1,89.73
29.5,34.375,2024,4,19,92.44
29.5,34.375,2021,5,3,92.71
29.5,35.625,2021,5,2,89.47
29.5,35.0,2021,5,2,93.89
29.5,34.375,2021,5,2,92.73
29.5,35.0,2024,12,12,94.21
29.5,34.375,2024,12,12,92.99
29.5,35.625,2020,2,2,89.89
29.5,35.0,2020,2,2,94.47
29.5,34.375,2020,2,2,93.22
29.5,35.625,2022,6,3,89.11
29.5,35.0,2022,6,3,93.5
29.5,34.375,2022,6,3,92.34
29.5,34.375,2024,3,15,92.84
29.5,35.625,2023,4,21,88.9
29.5,35.0,2023,4,21,93.4
29.5,35.625,2021,3,3,89.46
29.5,35.625,2024,3,14,89.42
29.5,35.0,2024,3,14,93.94
29.5,34.375,2024,3,14,92.72
