LAT,LON,YEAR,MO,DY,T2M_MIN
29.5,35.625,2020,1,14,2.76
29.5,35.0,2020,1,14,4.87
29.5,34.375,2020,1,14,3.95
29.5,35.625,2023,7,9,16.39
29.5,35.0,2023,7,9,19.03
29.5,35.625,2024,3,26,3.39
29.5,35.0,2024,3,26,9.28
29.5,34.375,2024,3,26,5.86
29.5,35.625,2022,10,27,11.21
29.5,35.0,2022,10,27,14.81
29.5,34.375,2022,10,27,12.66
29.5,35.625,2023,4,27,9.8
29.5,35.0,2023,4,27,12.32
29.5,35.625,2021,4,14,6.88
29.5,35.0,2021,4,14,8.9
29.5,34.375,2021,4,14,5.6
29.5,35.625,2022,10,22,13.96
29.5,35.625,2022,6,20,17.12
29.5,35.0,2022,6,20,17.88
29.5,34.375,2022,6,20,16.12
29.5,35.625,2024,12,23,1.18
29.5,35.0,2024,12,23,7.63
29.5,34.375,2024,12,23,6.16
29.5,35.625,2022,6,21,15.91
29.5,35.0,2022,6,21,16.84
29.5,34.375,2022,6,21,15.58
29.5,35.625,2023,7,10,16.62
29.5,35.0,2023,7,10,19.12
29.5,34.375,2023,7,10,17.91
29.5,34.375,2022,10,22,15.16
29.5,35.625,2021,3,22,17.17
29.5,35.0,2021,3,22,20.02
29.5,34.375,2021,3,22,17.68
29.5,35.625,2021,4,15,8.44
29.5,34.375,2022,6,19,16.21
29.5,35.625,2023,2,12,0.26
29.5,35.0,2023,2,12,4.14
29.5,34.375,2023,2,12,2.22
29.5,35.625,2020,1,16,5.4
29.5,35.0,2020,1,16,9.51
29.5,34.375,2020,1,16,6.0
29.5,35.625,2024,3,25,4.37
29.5,35.625,2024,4,8,8.34
29.5,35.0,2024,4,8,11.3
29.5,34.375,2024,4,8,8.33
29.5,35.625,2023,2,18,-1.74
29.5,35.0,2023,2,18,3.87
29.5,34.375,2023,2,18,1.47
29.5,35.625,2022,6,19,17.43
29.5,35.0,2022,6,19,18.46
29.5,35.0,2021,4,15,11.62
29.5,34.375,2021,4,15,8.14
29.5,35.625,2022,10,28,11.91
29.5,35.0,2022,10,28,14.48
29.5,34.375,2022,10,28,14.08
29.5,35.625,2021,3,21,15.27
29.5,35.0,2021,3,21,18.43
29.5,34.375,2021,3,21,16.38
29.5,35.625,2022,10,21,14.05
29.5,35.0,2022,10,21,16.74
29.5,35.0,2022,10,22,17.47
29.5,34.375,2021,4,16,10.46
29.5,35.625,2024,4,9,8.4
29.5,35.0,2024,4,9,12.14
29.5,34.375,2024,4,9,9.84
29.5,35.625,2024,3,24,2.96
29.5,35.0,2024,3,24,7.65
29.5,34.375,2024,3,24,6.98
29.5,35.625,2024,12,22,4.46
29.5,35.0,2024,12,22,7.36
29.5,34.375,2024,12,22,5.77
29.5,35.625,2020,1,17,1.67
29.5,35.0,2020,1,17,6.51
29.5,34.375,2020,1,17,2.84
29.5,35.625,2022,6,18,18.01
29.5,35.0,2022,6,18,18.43
29.5,34.375,2022,6,18,16.15
29.5,35.0,2021,3,19,7.12
29.5,34.375,2021,3,19,4.54
29.5,35.625,2024,3,23,0.98
29.5,35.0,2024,3,23,5.18
29.5,34.375,2024,3,23,5.02
29.5,35.625,2023,7,12,19.8
29.5,35.0,2023,7,12,21.02
29.5,34.375,2023,7,12,18.8
29.5,35.625,2020,1,18,4.51
29.5,35.0,2020,1,18,7.99
29.5,34.375,2020,1,18,5.72
29.5,35.625,2022,7,6,17.14
29.5,35.0,2022,7,6,20.22
29.5,34.375,2022,7,6,17.5
29.5,35.625,2021,4,16,12.32
29.5,35.0,2021,4,16,12.62
29.5,34.375,2021,4,17,12.18
29.5,35.625,2023,4,23,13.05
29.5,35.0,2023,4,23,13.72
29.5,34.375,2023,4,23,11.71
29.5,35.625,2021,4,18,15.11
29.5,35.0,2021,4,18,19.29
29.5,35.625,2020,1,19,1.64
29.5,35.0,2020,1,19,5.3
29.5,34.375,2020,1,19,2.9
29.5,35.625,2023,7,11,16.6
29.5,35.0,2023,7,11,19.28
29.5,34.375,2023,7,11,17.17
29.5,35.625,2021,3,20,6.69
29.5,35.0,2021,3,20,10.04
29.5,34.375,2021,3,20,7.79
29.5,35.625,2021,3,19,3.7
29.5,35.0,2024,4,10,11.16
29.5,34.375,2024,4,10,9.25
29.5,35.625,2021,4,19,16.27
29.5,35.0,2021,4,19,21.61
29.5,34.375,2021,4,19,19.03
29.5,35.625,2024,12,20,4.16
29.5,35.0,2024,12,20,7.61
29.5,34.375,2024,12,20,5.75
29.5,35.625,2024,12,21,5.38
29.5,35.0,2024,12,21,7.43
29.5,34.375,2024,12,21,5.45
29.5,35.625,2022,6,17,20.35
29.5,35.0,2022,6,17,20.62
29.5,34.375,2022,6,17,17.75
29.5,35.625,2021,4,17,12.88
29.5,35.0,2021,4,17,14.47
29.5,35.0,2021,3,18,7.69
29.5,34.375,2021,3,18,6.56
29.5,35.625,2024,4,11,8.06
29.5,35.0,2024,4,11,10.98
29.5,34.375,2024,4,11,9.67
29.5,35.625,2022,6,15,16.43
29.5,35.0,2022,6,15,19.51
29.5,34.375,2022,6,15,17.39
29.5,35.625,2023,2,11,-1.23
29.5,35.0,2023,2,11,3.67
29.5,34.375,2023,2,11,1.27
29.5,35.625,2022,6,16,17.38
29.5,35.0,2022,6,16,18.67
29.5,34.375,2022,6,16,16.13
29.5,34.375,2021,4,18,16.82
29.5,35.625,2024,4,10,6.61
29.5,35.0,2020,1,20,6.17
29.5,34.375,2020,1,20,2.53
29.5,35.625,2023,7,13,20.9
29.5,35.0,2023,7,13,21.58
29.5,34.375,2023,7,13,18.21
29.5,35.625,2022,10,20,16.44
29.5,35.0,2022,10,20,17.24
29.5,34.375,2022,10,20,13.88
29.5,35.625,2021,3,17,7.77
29.5,35.0,2021,3,17,10.0
29.5,34.375,2021,3,17,8.28
29.5,35.625,2021,4,20,17.77
29.5,35.0,2021,4,20,16.24
29.5,34.375,2021,4,20,15.13
29.5,35.625,2024,3,22,3.42
29.5,35.625,2021,3,18,4.21
