LAT,LON,YEAR,MO,DY,TS
29.5,35.0,2023,2,17,11.17
29.5,34.375,2023,2,17,7.83
29.5,35.625,2023,7,1,29.72
29.5,35.0,2023,7,1,29.87
29.5,34.375,2023,7,1,27.98
29.5,35.625,2021,4,12,13.68
29.5,34.375,2021,3,24,15.57
29.5,35.625,2021,3,23,23.77
29.5,35.0,2021,3,23,24.79
29.5,34.375,2021,3,23,24.64
29.5,35.0,2024,3,25,14.77
29.5,34.375,2024,3,25,12.58
29.5,35.625,2024,4,7,16.87
29.5,35.625,2020,1,15,10.52
29.5,35.0,2020,1,15,15.15
29.5,34.375,2020,1,15,13.1
29.5,35.625,2020,1,14,8.13
29.5,35.0,2020,1,14,11.61
29.5,34.375,2020,1,14,9.85
29.5,35.625,2023,7,9,29.03
29.5,35.0,2023,7,9,30.43
29.5,35.625,2024,3,26,13.23
29.5,35.0,2024,3,26,16.3
29.5,34.375,2024,3,26,14.45
29.5,35.625,2022,10,27,19.78
29.5,35.0,2022,10,27,22.13
29.5,34.375,2022,10,27,19.44
29.5,35.625,2023,4,27,21.61
29.5,35.0,2023,4,27,22.73
29.5,35.625,2021,4,14,18.55
29.5,35.0,2021,4,14,21.4
29.5,34.375,2021,4,14,18.29
29.5,35.625,2022,10,22,21.93
29.5,35.625,2022,6,20,31.05
29.5,35.0,2022,6,20,29.23
29.5,34.375,2022,6,20,26.44
29.5,35.625,2024,12,23,8.55
29.5,35.0,2024,12,23,12.88
29.5,34.375,2024,12,23,10.04
29.5,35.625,2022,6,21,26.34
29.5,35.0,2022,6,21,27.09
29.5,34.375,2022,6,21,24.82
29.5,35.625,2023,7,10,28.95
29.5,35.0,2023,7,10,30.39
29.5,34.375,2023,7,10,28.71
29.5,34.375,2022,10,22,21.31
29.5,35.625,2021,3,22,22.92
29.5,35.0,2021,3,22,24.99
29.5,34.375,2021,3,22,24.52
29.5,35.625,2021,4,15,20.24
29.5,34.375,2022,6,19,27.75
29.5,35.625,2023,2,12,6.14
29.5,35.0,2023,2,12,9.66
29.5,34.375,2023,2,12,7.29
29.5,35.625,2020,1,16,12.5
29.5,35.0,2020,1,16,15.46
29.5,34.375,2020,1,16,13.38
29.5,35.625,2024,3,25,12.09
29.5,35.625,2024,4,8,17.71
29.5,35.0,2024,4,8,20.71
29.5,34.375,2024,4,8,19.03
29.5,35.625,2023,2,18,6.7
29.5,35.0,2023,2,18,11.87
29.5,34.375,2023,2,18,8.61
29.5,35.625,2022,6,19,31.3
29.5,35.0,2022,6,19,30.1
29.5,35.0,2021,4,15,23.8
29.5,34.375,2021,4,15,20.93
29.5,35.625,2022,10,28,20.17
29.5,35.0,2022,10,28,22.61
29.5,34.375,2022,10,28,20.33
29.5,35.625,2021,3,21,21.91
29.5,35.0,2021,3,21,23.73
29.5,34.375,2021,3,21,23.49
29.5,35.625,2022,10,21,22.71
29.5,35.0,2022,10,21,24.5
29.5,35.0,2022,10,22,24.07
29.5,34.375,2021,4,16,21.87
29.5,35.625,2024,4,9,16.81
29.5,35.0,2024,4,9,19.88
29.5,34.375,2024,4,9,17.94
29.5,35.625,2024,3,24,11.42
29.5,35.0,2024,3,24,14.73
29.5,34.375,2024,3,24,12.9
29.5,35.625,2024,12,22,8.06
29.5,35.0,2024,12,22,13.08
29.5,34.375,2024,12,22,9.82
29.5,35.625,2020,1,17,8.9
29.5,35.0,2020,1,17,12.23
29.5,34.375,2020,1,17,9.73
29.5,35.625,2022,6,18,31.91
29.5,35.0,2022,6,18,30.49
29.5,34.375,2022,6,18,27.91
29.5,35.0,2021,3,19,16.05
29.5,34.375,2021,3,19,13.81
29.5,35.625,2024,3,23,12.45
29.5,35.0,2024,3,23,15.92
29.5,34.375,2024,3,23,14.2
29.5,35.625,2023,7,12,32.96
29.5,35.0,2023,7,12,33.27
29.5,34.375,2023,7,12,30.1
29.5,35.625,2020,1,18,8.75
29.5,35.0,2020,1,18,12.01
29.5,34.375,2020,1,18,10.34
29.5,35.625,2022,7,6,26.73
29.5,35.0,2022,7,6,29.57
29.5,34.375,2022,7,6,27.89
29.5,35.625,2021,4,16,23.18
29.5,35.0,2021,4,16,24.67
29.5,34.375,2021,4,17,23.76
29.5,35.625,2023,4,23,21.14
29.5,35.0,2023,4,23,21.86
29.5,34.375,2023,4,23,19.78
29.5,35.625,2021,4,18,25.81
29.5,35.0,2021,4,18,29.18
29.5,35.625,2020,1,19,7.62
29.5,35.0,2020,1,19,10.74
29.5,34.375,2020,1,19,8.12
29.5,35.625,2023,7,11,31.11
29.5,35.0,2023,7,11,30.72
29.5,34.375,2023,7,11,28.72
29.5,35.625,2021,3,20,18.77
29.5,35.0,2021,3,20,21.43
29.5,34.375,2021,3,20,19.99
29.5,35.625,2021,3,19,14.06
29.5,35.0,2024,4,10,19.08
29.5,34.375,2024,4,10,17.74
29.5,35.625,2021,4,19,26.33
29.5,35.0,2021,4,19,29.57
29.5,34.375,2021,4,19,28.19
29.5,35.625,2024,12,20,7.8
29.5,35.0,2024,12,20,11.7
29.5,34.375,2024,12,20,9.94
29.5,35.625,2024,12,21,10.15
29.5,35.0,2024,12,21,13.44
29.5,34.375,2024,12,21,11.35
29.5,35.625,2022,6,17,32.61
29.5,35.0,2022,6,17,31.26
29.5,34.375,2022,6,17,27.64
29.5,35.625,2021,4,17,24.78
29.5,35.0,2021,4,17,26.34
29.5,35.0,2021,3,18,16.18
29.5,34.375,2021,3,18,14.46
29.5,35.625,2024,4,11,18.27
29.5,35.0,2024,4,11,20.97
29.5,34.375,2024,4,11,19.08
29.5,35.625,2022,6,15,29.84
29.5,35.0,2022,6,15,30.27
29.5,34.375,2022,6,15,28.52
29.5,35.625,2023,2,11,6.51
29.5,35.0,2023,2,11,10.68
29.5,34.375,2023,2,11,7.65
29.5,35.625,2022,6,16,31.06
29.5,35.0,2022,6,16,31.57
29.5,34.375,2022,6,16,28.4
29.5,34.375,2021,4,18,27.11
29.5,35.625,2024,4,10,15.6
29.5,35.0,2020,1,20,10.77
29.5,34.375,2020,1,20,8.44
29.5,35.625,2023,7,13,33.89
29.5,35.0,2023,7,13,34.13
29.5,34.375,2023,7,13,30.57
29.5,35.625,2022,10,20,23.93
29.5,35.0,2022,10,20,25.32
29.5,34.375,2022,10,20,21.39
29.5,35.625,2021,3,17,15.47
29.5,35.0,2021,3,17,17.83
29.5,34.375,2021,3,17,16.23
29.5,35.625,2021,4,20,26.41
29.5,35.0,2021,4,20,25.12
29.5,34.375,2021,4,20,26.66
29.5,35.625,2024,3,22,12.75
29.5,35.625,2021,3,18,13.41
29.5,35.0,2024,3,22,15.65
29.5,34.375,2024,3,22,13.28
29.5,34.375,2022,10,21,21.73
29.5,35.625,2021,3,16,17.83
29.5,35.0,2021,3,16,19.11
29.5,34.375,2021,3,16,16.76
29.5,35.625,2021,4,21,25.86
29.5,35.0,2021,4,21,22.68
29.5,34.375,2021,4,21,22.25
29.5,35.625,2020,1,21,4.81
29.5,35.0,2020,1,21,8.65
29.5,34.375,2020,1,21,6.54
29.5,35.625,2023,6,30,28.67
29.5,35.0,2023,6,30,28.65
29.5,34.375,2023,6,30,26.63
29.5,35.625,2020,1,20,6.1
29.5,34.375,2021,4,22,20.53
29.5,35.625,2020,1,22,5.66
29.5,35.0,2020,1,22,8.39
29.5,34.375,2020,1,22,5.85
29.5,35.625,2022,7,7,27.84
29.5,35.0,2022,7,7,29.53
29.5,34.375,2022,7,7,27.87
29.5,35.625,2022,6,14,28.38
29.5,35.0,2022,6,14,29.94
29.5,34.375,2022,6,14,28.75
29.5,35.625,2021,3,15,18.65
29.5,35.0,2021,3,15,20.74
29.5,34.375,2021,3,15,18.71
29.5,35.625,2023,4,22,19.63
29.5,35.0,2023,4,22,21.14
29.5,34.375,2023,4,22,20.08
